nodeTag,x,y,z
427,-66.883484,66.883484,273.681245
428,-61.640153,61.640153,227.970505
429,-58.816349,58.816349,187.773154
430,-57.922797,57.922797,150.0
431,-58.816349,58.816349,112.226846
432,-34.202014,-93.969262,300.0
433,-50.0,-86.60254,300.0
434,-45.191714,-78.274345,249.893453
435,-42.40243,-73.443163,207.400666
436,-41.114054,-71.21163,168.742014
437,-41.114054,-71.21163,131.257986
438,-42.40243,-73.443163,92.599334
439,-45.191714,-78.274345,50.106547
440,-39.974418,-85.725416,26.318755
441,-34.202014,-93.969262,0.0
442,-34.202014,-93.969262,0.0
443,34.202014,93.969262,0.0
444,34.202014,93.969262,0.0
445,-17.364818,98.480775,0.0
446,-17.364818,98.480775,0.0
447,0.0,100.0,0.0
448,-50.0,86.60254,0.0
449,-64.278761,76.604444,0.0
450,-66.883484,66.883484,26.318755
451,-69.237723,58.097348,50.106547
452,-71.4074,50.0,72.029495
453,-73.443163,42.40243,92.599334
454,-75.385665,35.152913,112.226846
455,-77.269146,28.123669,131.257986
456,-79.124012,21.201215,150.0
457,-80.978877,14.278761,168.742014
458,-82.862358,7.249517,187.773154
459,-84.80486,0.0,207.400666
460,-86.840623,-7.59757,227.970505
461,-89.0103,-15.694918,249.893453
462,-91.364539,-24.481054,273.681245
463,-93.969262,-34.202014,300.0
464,-93.969262,-34.202014,300.0
465,-76.604444,64.278761,300.0
466,-69.237723,58.097348,249.893453
467,-64.964292,54.511513,207.400666
468,-62.990385,52.855208,168.742014
469,-62.990385,52.855208,131.257986
470,-54.253179,-77.481569,273.681245
471,-50.0,-71.4074,227.970505
472,-47.709445,-68.136148,187.773154
473,-46.984631,-67.101007,150.0
474,-47.709445,-68.136148,112.226846
475,-50.0,-71.4074,72.029495
476,-54.253179,-77.481569,26.318755
477,-50.0,-86.60254,0.0
478,-64.278761,76.604444,0.0
479,-76.604444,64.278761,0.0
480,-77.481569,54.253179,26.318755
481,-78.274345,45.191714,50.106547
482,-79.00497,36.840623,72.029495
483,-79.690501,29.00497,92.599334
484,-80.344627,21.528278,112.226846
485,-80.978877,14.278761,131.257986
486,-81.603492,7.13938,150.0
487,-82.228107,0.0,168.742014
488,-82.862358,-7.249517,187.773154
489,-83.516484,-14.726209,207.400666
490,-84.202014,-22.561862,227.970505
491,-84.93264,-30.912953,249.893453
492,-85.725416,-39.974418,273.681245
493,-86.60254,-50.0,300.0
494,-86.60254,-50.0,300.0
495,-67.101007,46.984631,150.0
496,-71.21163,41.114054,168.742014
497,-75.385665,35.152913,187.773154
498,-79.690501,29.00497,207.400666
499,-84.202014,22.561862,227.970505
500,-89.0103,15.694918,249.893453
501,-94.227597,8.243846,273.681245
502,-100.0,0.0,300.0
503,-76.604444,64.278761,300.0
504,-77.481569,54.253179,273.681245
505,-71.4074,50.0,227.970505
506,-68.136148,47.709445,187.773154
507,-50.0,-86.60254,300.0
508,-64.278761,-76.604444,300.0
509,-58.097348,-69.237723,249.893453
510,-54.511513,-64.964292,207.400666
511,-52.855208,-62.990385,168.742014
512,-52.855208,-62.990385,131.257986
513,-54.511513,-64.964292,92.599334
514,-58.097348,-69.237723,50.106547
515,-64.278761,-76.604444,0.0
516,-64.278761,-76.604444,0.0
517,-50.0,-86.60254,0.0
518,-76.604444,64.278761,0.0
519,-86.60254,50.0,0.0
520,-85.725416,39.974418,26.318755
521,-84.93264,30.912953,50.106547
522,-84.202014,22.561862,72.029495
523,-83.516484,14.726209,92.599334
524,-82.862358,7.249517,112.226846
525,-82.228107,0.0,131.257986
526,-81.603492,-7.13938,150.0
527,-80.978877,-14.278761,168.742014
528,-80.344627,-21.528278,187.773154
529,-79.690501,-29.00497,207.400666
530,-79.00497,-36.840623,227.970505
531,-78.274345,-45.191714,249.893453
532,-77.481569,-54.253179,273.681245
533,-76.604444,-64.278761,300.0
534,-76.604444,-64.278761,300.0
535,-73.443163,42.40243,207.400666
536,-79.00497,36.840623,227.970505
537,-84.93264,30.912953,249.893453
538,-91.364539,24.481054,273.681245
539,-98.480775,17.364818,300.0
540,-86.60254,50.0,300.0
541,-78.274345,45.191714,249.893453
542,-66.883484,-66.883484,273.681245
543,-61.640153,-61.640153,227.970505
544,-58.816349,-58.816349,187.773154
545,-57.922797,-57.922797,150.0
546,-58.816349,-58.816349,112.226846
547,-61.640153,-61.640153,72.029495
548,-66.883484,-66.883484,26.318755
549,-86.60254,50.0,0.0
550,-93.969262,34.202014,0.0
551,-91.364539,24.481054,26.318755
552,-89.0103,15.694918,50.106547
553,-86.840623,7.59757,72.029495
554,-84.80486,0.0,92.599334
555,-82.862358,-7.249517,112.226846
556,-80.978877,-14.278761,131.257986
557,-79.124012,-21.201215,150.0
558,-77.269146,-28.123669,168.742014
